filename,artist,bpm,key,camelot,energy,genres,format,path
SERGIK Remix - Damian Marley - Welcome To Jamrock.wav,Unknown Artist,129.2,G minor,6A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK Remix - Damian Marley - Welcome To Jamrock.wav
SERGIK - Let the music.wav,Unknown Artist,117.5,C major,8B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Let the music.wav
SERGIK - Spanktula.wav,Unknown Artist,86.1,D minor,7A,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Spanktula.wav
SERGIK - Hello Hello.wav,Unknown Artist,86.1,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hello Hello.wav
SERGIK - All I Want is.wav,Unknown Artist,123.0,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - All I Want is.wav
SERGIK - Space Dust.wav,Unknown Artist,86.1,A minor,8A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Space Dust.wav
SERGIK x NOOD -  Refreshments.wav,Unknown Artist,86.1,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x NOOD -  Refreshments.wav
SERGIK - Dandy - Cmaj - 105bpm.wav,Unknown Artist,147.7,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dandy - Cmaj - 105bpm.wav
SERGIK - What Is What Xtendo.wav,Unknown Artist,89.1,D minor,7A,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - What Is What Xtendo.wav
SERGIK Rework - Say Yeah v3.wav,Unknown Artist,129.2,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK Rework - Say Yeah v3.wav
Sergik - Bloops n Kats.wav,Unknown Artist,123.0,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Bloops n Kats.wav
SERGIK - Sunrise Bass.wav,Unknown Artist,92.3,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Sunrise Bass.wav
SERGIK - Fk Wat They Say.wav,Unknown Artist,123.0,F# minor,11A,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fk Wat They Say.wav
SERGIK - Bender 1 1.wav,Unknown Artist,86.1,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bender 1 1.wav
SERGIK - Wonked (135 BPM Drum Rework).wav,Unknown Artist,89.1,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Wonked (135 BPM Drum Rework).wav
SERGIK x Skeezy - Keep Myself.wav,Unknown Artist,86.1,A major,11B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Skeezy - Keep Myself.wav
SERGIK - Jumpin.wav,Unknown Artist,129.2,A major,11B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jumpin.wav
SERGIK x Cy Heck - On A Diet V2 1.wav,Unknown Artist,86.1,D major,10B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Cy Heck - On A Diet V2 1.wav
SERGIK - Perspectives.wav,Unknown Artist,123.0,A major,11B,9,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Perspectives.wav
SERGIK x Isaiah Walker - Be Yourself.wav,Unknown Artist,123.0,A major,11B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Isaiah Walker - Be Yourself.wav
SERGIK x CEEMOAR x GOJI - SlimThick.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x CEEMOAR x GOJI - SlimThick.wav
SERGIK x Bobs Secret - From The Soul.wav,Unknown Artist,86.1,A major,11B,6,soul,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Bobs Secret - From The Soul.wav
SERGIK x Forgotten Modern - Flip Da Switch.wav,Unknown Artist,129.2,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Forgotten Modern - Flip Da Switch.wav
SERGIK - 24_7 VIP 2.wav,Unknown Artist,86.1,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - 24_7 VIP 2.wav
