filename,artist,bpm,key,camelot,energy,genres,format,path
you can fw us cd-6 edit.aif,Unknown Artist,129.2,D major,10B,7,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/you can fw us cd-6 edit.aif
Told Me (0).wav,Unknown Artist,78.3,E minor,9A,4,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Told Me (0).wav
Waavy.wav,Unknown Artist,117.5,A major,11B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Waavy.wav
Hip Hop 6.mp3,Unknown Artist,152.0,D minor,7A,5,hiphop,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 6.mp3
BENNY THE BUTCHER x 38 SPESH x JADAKISS Type Beat - Revenge.mp3,Unknown Artist,123.0,F# minor,11A,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/BENNY THE BUTCHER x 38 SPESH x JADAKISS Type Beat - Revenge.mp3
gaslamp district mv1.aif,Unknown Artist,92.3,A# minor,3A,6,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/gaslamp district mv1.aif
SAFECRACKERS SAVING KIKI KYTE.mp3,Unknown Artist,117.5,A# minor,3A,7,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SAFECRACKERS SAVING KIKI KYTE.mp3
On the Road session.mp3,Unknown Artist,86.1,B minor,10A,7,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/On the Road session.mp3
Dreaming Jet 3.mp3,Unknown Artist,129.2,D minor,7A,9,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dreaming Jet 3.mp3
Janis and the Planets - Miel.wav,Unknown Artist,117.5,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Janis and the Planets - Miel.wav
Jazz 1 bass.mp3,Unknown Artist,123.0,F major,7B,2,jazz,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Jazz 1 bass.mp3
Markadelic - Pattern 1 - 110 - 1.wav,Unknown Artist,92.3,D minor,7A,1,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Markadelic - Pattern 1 - 110 - 1.wav
Hip Hop 10.mp3,Unknown Artist,86.1,E minor,9A,6,hiphop,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 10.mp3
doors of perception.mp3,Unknown Artist,129.2,A minor,8A,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/doors of perception.mp3
Chasing Dreams (1).wav,Unknown Artist,123.0,A# minor,3A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Chasing Dreams (1).wav
Dreaming Jet 2.mp3,Unknown Artist,129.2,D minor,7A,9,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dreaming Jet 2.mp3
understood (0).wav,Unknown Artist,92.3,F# minor,11A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/understood (0).wav
6.24.24 V2.0 Smells like FUNK 114 bpm Note C.aif,Unknown Artist,112.3,C major,8B,6,funk,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/6.24.24 V2.0 Smells like FUNK 114 bpm Note C.aif
4. POWER OF SNACKS.mp3,Unknown Artist,92.3,D major,10B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/4. POWER OF SNACKS.mp3
Feel Good.wav,Unknown Artist,129.2,D minor,7A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Feel Good.wav
Try Me Mix-Down_master 2.wav,Unknown Artist,86.1,A minor,8A,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Try Me Mix-Down_master 2.wav
Old Fellas - Azare Ft. JCreate 3.mp3,Unknown Artist,80.7,A major,11B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Old Fellas - Azare Ft. JCreate 3.mp3
DOMMO - MYLOVE4U.wav,Unknown Artist,129.2,F# minor,11A,9,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/DOMMO - MYLOVE4U.wav
Optikz x SERGIK(Vips) - Crowd Control - House.wav,Unknown Artist,123.0,A minor,8A,8,house,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Optikz x SERGIK(Vips) - Crowd Control - House.wav
Rushh.wav,Unknown Artist,123.0,B minor,10A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Rushh.wav
Dilon Karim - Chancellor.wav,Unknown Artist,89.1,A major,11B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dilon Karim - Chancellor.wav
Jetlosh - Flume Kiss.mp3,Unknown Artist,129.2,A major,11B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Jetlosh - Flume Kiss.mp3
Chasing Dreams (0).wav,Unknown Artist,123.0,A# minor,3A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Chasing Dreams (0).wav
Try Me Mix-Down_master.wav,Unknown Artist,86.1,A minor,8A,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Try Me Mix-Down_master.wav
mm chop.mp3,Unknown Artist,123.0,C minor,5A,1,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/mm chop.mp3
jordan beat 2.mp3,Unknown Artist,83.4,D major,10B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/jordan beat 2.mp3
Night Moon Light.mp3,Unknown Artist,86.1,C major,8B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Night Moon Light.mp3
Hip Hop 14.mp3,Unknown Artist,143.6,D major,10B,5,hiphop,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 14.mp3
Chasing the sun to Tokyo.wav,Unknown Artist,89.1,E minor,9A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Chasing the sun to Tokyo.wav
Dilon Karim - Hedonistic Dreams.wav,Unknown Artist,129.2,C# minor,12A,4,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dilon Karim - Hedonistic Dreams.wav
DISCO MELODY.wav,Unknown Artist,76.0,A minor,8A,4,disco,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/DISCO MELODY.wav
JIMII x Sergik - dublin.wav,Unknown Artist,86.1,D major,10B,8,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/JIMII x Sergik - dublin.wav
FANTASTIC DIALOG.mp3,Unknown Artist,92.3,A minor,8A,3,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/FANTASTIC DIALOG.mp3
hip hop 15.mp3,Unknown Artist,86.1,A minor,8A,6,hiphop,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/hip hop 15.mp3
SERPANT 1.aif,Unknown Artist,136.0,A minor,8A,6,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERPANT 1.aif
Optikz x SERGIK(Vips) - Crowd Control - House _ Trap.wav,Unknown Artist,86.1,D major,10B,7,"house,hiphop",wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Optikz x SERGIK(Vips) - Crowd Control - House _ Trap.wav
Samurai Showdown (0).wav,Unknown Artist,89.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Samurai Showdown (0).wav
LANDR-emodrill_153bpm-Open-High 2.mp3,Unknown Artist,86.1,B major,1B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/LANDR-emodrill_153bpm-Open-High 2.mp3
01 Arza (One Word) ruff mix 1.mp3,Unknown Artist,152.0,D minor,7A,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/01 Arza (One Word) ruff mix 1.mp3
Mykeology Audio.wav,Unknown Artist,76.0,A minor,8A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Mykeology Audio.wav
Arza - Already Know 129bpm A# min.wav,Unknown Artist,117.5,F minor,4A,4,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Already Know 129bpm A# min.wav
SHAKEDIT.mp3,Unknown Artist,103.4,D major,10B,8,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SHAKEDIT.mp3
Sunday laxing.mp3,Unknown Artist,152.0,C major,8B,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sunday laxing.mp3
"diablo - coco, auxlee MASTER v1122.wav",Unknown Artist,129.2,A major,11B,6,,wav,"/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/diablo - coco, auxlee MASTER v1122.wav"
ANDINO x SERGIK - Bird Talk.wav,Unknown Artist,86.1,G major,9B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK - Bird Talk.wav
We Should Save - Dubba Haus.wav,Unknown Artist,129.2,A major,11B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/We Should Save - Dubba Haus.wav
Dilon Karim - Attitude (Alternate Dub) 2.wav,Unknown Artist,86.1,D major,10B,6,reggae,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Dilon Karim - Attitude (Alternate Dub) 2.wav
10A - DAY N NITE (PIERCE REMIX) V3.wav,Unknown Artist,92.3,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/10A - DAY N NITE (PIERCE REMIX) V3.wav
Sean Hart x Sean Watson x Janis x SERGIK - Safespace (OG Mix).wav,Unknown Artist,136.0,F major,7B,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sean Hart x Sean Watson x Janis x SERGIK - Safespace (OG Mix).wav
Janis and The Planets - What They Saying_.wav,Unknown Artist,117.5,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Janis and The Planets - What They Saying_.wav
Mac Miller - Self Care Acapella (Vocals Only).mp3,Unknown Artist,143.6,A major,11B,5,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Mac Miller - Self Care Acapella (Vocals Only).mp3
GREEN VELVET - LAZER BEAMS (BREAUXX REMIX).mp3,Unknown Artist,86.1,D major,10B,7,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/GREEN VELVET - LAZER BEAMS (BREAUXX REMIX).mp3
hip hop 16.mp3,Unknown Artist,143.6,F# minor,11A,7,hiphop,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/hip hop 16.mp3
WHO R U v10.wav,Unknown Artist,86.1,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/WHO R U v10.wav
8.30.24 V2.0 Tron 120 BPM Note C.aif,Unknown Artist,89.1,C major,8B,7,,aif,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/8.30.24 V2.0 Tron 120 BPM Note C.aif
