filename,artist_folder,path,size_mb,format,genres,bpm,is_sergik
understood (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/understood (0).wav,21.53,wav,,,False
SERGIK x Cafe Caderas - House Girls.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Cafe Caderas - House Girls.wav,36.53,wav,house,,True
6.24.24 V2.0 Smells like FUNK 114 bpm Note C.aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/6.24.24 V2.0 Smells like FUNK 114 bpm Note C.aif,39.32,aif,funk,114,False
SERGIK - Drop Dat B.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Drop Dat B.wav,53.94,wav,,,True
SERGIK - In The Moment.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - In The Moment.wav,55.68,wav,,,True
SERGIK - Up All Night.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Up All Night.wav,34.19,wav,,,True
SERGIK - I Like the way.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - I Like the way.wav,34.42,wav,,,True
SERGIK - Golden Hour - Trap.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - Trap.wav,55.68,wav,hiphop,,True
SERGIK - Guttah.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Guttah.wav,78.21,wav,,,True
Sergik x Hausofdevotion - Delirium.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Hausofdevotion - Delirium.wav,28.65,wav,,,True
SERGIK x Janis - Like a Daisy (VIP Alchemy).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Janis - Like a Daisy (VIP Alchemy).wav,63.75,wav,,,True
Feel Good.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Feel Good.wav,25.63,wav,,,False
SERGIK - All My Ladies ft. Nessa.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - All My Ladies ft. Nessa.wav,55.76,wav,,,True
SERGIK x Breauxxx - All Around.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - All Around.wav,72.86,wav,,,True
SERGIK - Lose Yourself.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Lose Yourself.wav,51.36,wav,,,True
SERGIK - Aha.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Aha.wav,44.64,wav,,,True
SERGIK x Aloe Flipz x Nood - Bxtch I Grow (Shafeus Edit).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz x Nood - Bxtch I Grow (Shafeus Edit).wav,66.03,wav,,,True
Try Me Mix-Down_master 2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Try Me Mix-Down_master 2.wav,38.13,wav,,,False
SERGIK - Jumpin v2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jumpin v2.wav,64.32,wav,,,True
Old Fellas - Azare Ft. JCreate 3.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Old Fellas - Azare Ft. JCreate 3.mp3,8.53,mp3,,,False
SERGIK x Silent Jay - Soul On Fire.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Soul On Fire.wav,63.52,wav,soul,,True
DOMMO - MYLOVE4U.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/DOMMO - MYLOVE4U.wav,54.32,wav,,,False
SERGIK - Do My Thang.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Do My Thang.wav,59.6,wav,,,True
SERGIK x NOOD - If You Want To v2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x NOOD - If You Want To v2.wav,69.08,wav,,,True
SERGIK x Forgotten Modern - Give it To Em.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Forgotten Modern - Give it To Em.wav,34.88,wav,,,True
SERGIK - Electrify.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Electrify.wav,62.52,wav,,,True
Optikz x SERGIK(Vips) - Crowd Control - House.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Optikz x SERGIK(Vips) - Crowd Control - House.wav,51.53,wav,house,,False
SERGIK X JIMII - JUST IN CASE.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK X JIMII - JUST IN CASE.wav,46.05,wav,,,True
Rushh.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Rushh.wav,34.79,wav,,,False
SERGIK x Sean Hart x Sean Watson V2x Janis - Snap Back Sweet.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart x Sean Watson V2x Janis - Snap Back Sweet.wav,88.09,wav,,,True
Sergik - Tell Me.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Tell Me.wav,41.34,wav,,,True
Dilon Karim - Chancellor.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dilon Karim - Chancellor.wav,102.0,wav,,,False
SERGIK x Breauxxx x NOOD - Comprehension.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx x NOOD - Comprehension.wav,71.92,wav,,,True
SERGIK x Aloe Flipz - Broken Problems v2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz - Broken Problems v2.wav,50.22,wav,,,True
Chasing Dreams (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chasing Dreams (0).wav,29.61,wav,,,False
SERGIK x Slick - Gangsta.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Slick - Gangsta.wav,68.13,wav,,,True
SERGIK - Elevator Musik.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Elevator Musik.wav,57.22,wav,,,True
SERGIK - Never Hold Back.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Never Hold Back.wav,63.47,wav,,,True
SERGIK - Funkshway analog.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Funkshway analog.wav,75.57,wav,funk,,True
Try Me Mix-Down_master.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Try Me Mix-Down_master.wav,38.13,wav,,,False
Sergik - 90s Baby.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - 90s Baby.wav,37.73,wav,,,True
mm chop.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/mm chop.mp3,2.66,mp3,,,False
jordan beat 2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/jordan beat 2.mp3,8.02,mp3,,,False
Night Moon Light.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Night Moon Light.mp3,8.5,mp3,,,False
SERGIK - Going Fast3.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Fast3.wav,66.86,wav,,,True
Hip Hop 14.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 14.mp3,4.67,mp3,hiphop,,False
Chasing the sun to Tokyo.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chasing the sun to Tokyo.wav,55.9,wav,,,False
SERGIK - Hotstepper Remix.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hotstepper Remix.wav,61.8,wav,,,True
SERGIK - Mind n Body.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Mind n Body.wav,69.77,wav,,,True
JIMII x Sergik - dublin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/JIMII x Sergik - dublin.wav,112.67,wav,,,False
SERGIK x NOBOUNDS - Alleyways.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x NOBOUNDS - Alleyways.wav,46.89,wav,,,True
SERGIK x Aloe Flipz - Betta Daze 88bpm.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz - Betta Daze 88bpm.wav,44.22,wav,,88,True
SERGIK - Going Fast.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Fast.wav,66.86,wav,,,True
SERGIK - Hi n Lo.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hi n Lo.wav,49.03,wav,,,True
hip hop 15.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/hip hop 15.mp3,5.55,mp3,hiphop,,False
SERPANT 1.aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERPANT 1.aif,27.97,aif,,,False
SERGIK - Going Fast2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Fast2.wav,66.86,wav,,,True
SERGIK x CHKLZ - To Da Flow.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x CHKLZ - To Da Flow.wav,30.76,wav,,,True
Optikz x SERGIK(Vips) - Crowd Control - House _ Trap.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Optikz x SERGIK(Vips) - Crowd Control - House _ Trap.wav,51.53,wav,"house,hiphop",,False
SERGIK ft. Residuo - Gottalotta.1.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK ft. Residuo - Gottalotta.1.wav,63.49,wav,,,True
Sergik x Skeezy - Gangsta.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Skeezy - Gangsta.wav,55.11,wav,,,True
SERGIK - Space Travel.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Space Travel.wav,63.02,wav,,,True
Samurai Showdown (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Samurai Showdown (0).wav,25.12,wav,,,False
SERGIK - Astro Daze.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Astro Daze.wav,55.25,wav,,,True
SERGIK x OG Coconut - What you want.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coconut - What you want.wav,83.27,wav,,,True
SERGIKx Offmedz_ - Trippy Liquid.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIKx Offmedz_ - Trippy Liquid.wav,55.23,wav,,,True
LANDR-emodrill_153bpm-Open-High 2.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/LANDR-emodrill_153bpm-Open-High 2.mp3,7.72,mp3,,153,False
01 Arza (One Word) ruff mix 1.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/01 Arza (One Word) ruff mix 1.mp3,4.94,mp3,,,False
SERGIK - Tequila Power.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Tequila Power.wav,66.91,wav,,,True
SERGIK x Slick Floyd x Lev Ayathiens - Running V2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Slick Floyd x Lev Ayathiens - Running V2.wav,61.57,wav,,,True
Sergik x Slick - Da Pyramids.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Slick - Da Pyramids.wav,67.35,wav,,,True
Mykeology Audio.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Mykeology Audio.wav,60.56,wav,,,False
SERGIK - Boomers.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Boomers.wav,29.12,wav,,,True
Arza - Already Know 129bpm A# min.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Arza - Already Know 129bpm A# min.wav,30.05,wav,,129,False
SERGIK - Have To Dance.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Have To Dance.wav,63.95,wav,,,True
SHAKEDIT.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SHAKEDIT.mp3,5.22,mp3,,,False
Sunday laxing.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sunday laxing.mp3,7.77,mp3,,,False
SERGIK x AUXLEE - The Conex.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x AUXLEE - The Conex.wav,83.03,wav,,,True
"diablo - coco, auxlee MASTER v1122.wav",Unknown Artist,"/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/diablo - coco, auxlee MASTER v1122.wav",58.4,wav,,,False
ANDINO x SERGIK - Bird Talk.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK - Bird Talk.wav,115.36,wav,,,False
SERGIK - Motions.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Motions.wav,26.5,wav,,,True
SERGIK - Duces (Disco Infero Remix).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Duces (Disco Infero Remix).wav,87.3,wav,disco,,True
SERGIK - How I Feel.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - How I Feel.wav,65.61,wav,,,True
We Should Save - Dubba Haus.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/We Should Save - Dubba Haus.wav,44.06,wav,,,False
SERGIK - When we go.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - When we go.wav,38.77,wav,,,True
Dilon Karim - Attitude (Alternate Dub) 2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dilon Karim - Attitude (Alternate Dub) 2.wav,87.74,wav,reggae,,False
SERGIK - Wonked.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Wonked.wav,34.61,wav,,,True
SERGIK - Whats Her Name ft. Mateo Haze.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Whats Her Name ft. Mateo Haze.wav,41.38,wav,,,True
SERGIK x LODIN - Bussin v2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Bussin v2.wav,41.02,wav,,,True
SERGIK - Leveled.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Leveled.wav,34.71,wav,,,True
SERGIK - Seretonin.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Seretonin.wav,57.72,wav,,,True
10A - DAY N NITE (PIERCE REMIX) V3.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/10A - DAY N NITE (PIERCE REMIX) V3.wav,38.62,wav,,,False
SERGIK - City Control.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - City Control.wav,62.23,wav,,,True
SERGIK - Rhythm v3.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rhythm v3.wav,67.4,wav,,,True
SERGIK - Something.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Something.wav,41.68,wav,,,True
SERGIK - Vibrationz.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Vibrationz.wav,69.67,wav,,,True
SERGIK - Giddup.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Giddup.wav,66.38,wav,,,True
SERGIK - Like The Ol Days.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Like The Ol Days.wav,52.78,wav,,,True
Mac Miller - Self Care Acapella (Vocals Only).mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Mac Miller - Self Care Acapella (Vocals Only).mp3,7.9,mp3,,,False
SERGIK x OG Coconut x Kuhl - Mavericks V2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coconut x Kuhl - Mavericks V2.wav,48.45,wav,,,True
SERGIK x Deep Chetty- So Good.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Deep Chetty- So Good.wav,66.38,wav,,,True
SERGIK - Tell me wat it do.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Tell me wat it do.wav,61.99,wav,,,True
SERGIK Ft. Lugh Haurie - Zoned 127 BPM D Min.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK Ft. Lugh Haurie - Zoned 127 BPM D Min.wav,55.32,wav,,127,True
Sergik x JIMIII x Mateo Haze - Tap In.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x JIMIII x Mateo Haze - Tap In.wav,58.36,wav,,,True
SERGIK x Zack Thrasher - Betta.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Zack Thrasher - Betta.wav,66.38,wav,,,True
SERGIK x Zonii - kcuf.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Zonii - kcuf.wav,38.76,wav,,,True
SERGIK - Wut We Bring.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Wut We Bring.wav,55.68,wav,,,True
hip hop 16.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/hip hop 16.mp3,5.8,mp3,hiphop,,False
WHO R U v10.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/WHO R U v10.wav,47.95,wav,,,False
8.30.24 V2.0 Tron 120 BPM Note C.aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/8.30.24 V2.0 Tron 120 BPM Note C.aif,28.56,aif,,120,False
SERGIK - Funky Technician.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Funky Technician.wav,58.18,wav,funk,,True
SERGIK x Breauxx x WWW - Uninvited.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxx x WWW - Uninvited.wav,71.46,wav,,,True
SERGIK x Zak Martin - Throw it Back.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Zak Martin - Throw it Back.wav,56.78,wav,,,True
SERGIK - Rhythm v2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rhythm v2.wav,67.4,wav,,,True
oldfocks nu samples.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/oldfocks nu samples.mp3,1.81,mp3,,,False
SERGIK x Breauxxx - The Bag 135bpm (Techyea SRGFLIP).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - The Bag 135bpm (Techyea SRGFLIP).wav,67.5,wav,,135,True
Dreaming Jet 4.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dreaming Jet 4.mp3,12.59,mp3,,,False
plain jane xeno flip newest remaster.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/plain jane xeno flip newest remaster.wav,38.61,wav,,,False
SERGIK x Frank Terry_Repeat_MSTR 1 [Worth the Weight Mastering].wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Frank Terry_Repeat_MSTR 1 [Worth the Weight Mastering].wav,75.56,wav,,,True
SERGIK x Kody Black x Lugh Haurie - All My Friends.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Kody Black x Lugh Haurie - All My Friends.wav,65.81,wav,,,True
Sergik - Hard to Love.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Hard to Love.wav,32.3,wav,,,True
OPTIKZ - SHAOLIN (M1).aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OPTIKZ - SHAOLIN (M1).aif,45.02,aif,,,False
SERGIK - How We Do.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - How We Do.wav,58.64,wav,,,True
SERGIK - Everyday.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday.wav,52.49,wav,,,True
SERGIK x Auxlee - Weepin Willows.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Auxlee - Weepin Willows.wav,65.16,wav,,,True
Janis and The Planets x SERGIK - Searching.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Janis and The Planets x SERGIK - Searching.wav,47.94,wav,,,False
8.5.24 V2.0 groovin 120 bpm Note G.aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/8.5.24 V2.0 groovin 120 bpm Note G.aif,26.37,aif,,120,False
Lazy Afternoon (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lazy Afternoon (0).wav,28.7,wav,,,False
SERGIK - The Beat.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Beat.wav,57.03,wav,,,True
SERGIK x Mike Ron - MNWKA.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Mike Ron - MNWKA.wav,76.35,wav,,,True
SERGIK x Bob Secret - Kiss Me.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Bob Secret - Kiss Me.wav,61.06,wav,,,True
SERGIK - Bass Bunker.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Bass Bunker.wav,55.97,wav,,,True
SERGIK - Rushy Funkshway.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rushy Funkshway.wav,76.89,wav,funk,,True
Hip Hop 1.mp3,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 1.mp3,5.68,mp3,hiphop,,False
SERGIK - Straight to the Room.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Straight to the Room.wav,50.39,wav,,,True
Dream Street (0).wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dream Street (0).wav,32.28,wav,,,False
5.24.24 2.0 LOVE 120 bpm A.aif,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/5.24.24 2.0 LOVE 120 bpm A.aif,48.34,aif,,120,False
SERGIK x CHKLZ - Ain_t Goin Out.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x CHKLZ - Ain_t Goin Out.wav,73.06,wav,,,True
SERGIK - Rhythm VIP Techno.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rhythm VIP Techno.wav,61.51,wav,techno,,True
Always Constant.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Always Constant.wav,19.25,wav,,,False
SERGIK x Janis & The Planets - To The Moon.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Janis & The Planets - To The Moon.wav,75.81,wav,,,True
SERGIK ft. Javi - LOKO.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK ft. Javi - LOKO.wav,60.64,wav,,,True
SERGIK - This is the sound.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - This is the sound.wav,40.76,wav,,,True
SERGIK - Piece Of Your Luv 2.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Piece Of Your Luv 2.wav,64.04,wav,,,True
Sergik - Kittymean.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Kittymean.wav,39.07,wav,,,True
SERGIK x OG Coconut - Big Macs n Jumbo Jacks.wav,Unknown Artist,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x OG Coconut - Big Macs n Jumbo Jacks.wav,57.42,wav,,,True
