project_path,project_name,parent_folder,created_time,modified_time,size_bytes,contains_sergik
/Users/machd/Downloads/Ketastrophy Project/Backup/Ketastrophy [2024-04-17 004537].als,Ketastrophy [2024-04-17 004537],Backup,2024-04-17T00:02:34,2024-04-17T00:02:34,1521957,False
/Users/machd/Downloads/Ketastrophy Project/Backup/Ketastrophy [2024-04-17 123937].als,Ketastrophy [2024-04-17 123937],Backup,2024-04-17T12:33:53,2024-04-17T12:33:53,1533061,False
/Users/machd/Downloads/Ketastrophy Project/Backup/Ketastrophy [2024-04-16 024422].als,Ketastrophy [2024-04-16 024422],Backup,2024-04-16T00:06:26,2024-04-16T00:06:26,1506017,False
/Users/machd/Downloads/Ketastrophy Project/Backup/Ketastrophy [2024-04-17 123351].als,Ketastrophy [2024-04-17 123351],Backup,2024-04-17T02:23:27,2024-04-17T02:23:27,1531610,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/FEATHER FLY WHEEL.als,FEATHER FLY WHEEL,FEATHER FLY WHEEL Project,2025-06-19T23:43:13,2025-06-19T23:43:13,268939,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-14 235042].als,FEATHER FLY WHEEL [2025-06-14 235042],Backup,2025-06-14T23:49:44,2025-06-14T23:49:44,231075,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-15 002243].als,FEATHER FLY WHEEL [2025-06-15 002243],Backup,2025-06-14T23:50:58,2025-06-14T23:50:58,230776,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-15 020220].als,FEATHER FLY WHEEL [2025-06-15 020220],Backup,2025-06-15T00:22:45,2025-06-15T00:22:45,236733,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-14 235055].als,FEATHER FLY WHEEL [2025-06-14 235055],Backup,2025-06-14T23:50:43,2025-06-14T23:50:43,230685,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-19 234313].als,FEATHER FLY WHEEL [2025-06-19 234313],Backup,2025-06-19T23:42:04,2025-06-19T23:42:04,268950,False
/Users/machd/Downloads/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-17 154251].als,FEATHER FLY WHEEL [2025-06-17 154251],Backup,2025-06-15T02:02:21,2025-06-15T02:02:21,253641,False
