filename,artist_folder,bpm,key,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
ANDINO x SERGIK -  ELROW 1.wav,Unknown Artist,,,393.07,44100,0,2,66.13,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK -  ELROW 1.wav
untitled.fyjump3.mp3,Unknown Artist,,,13.35,44100,0,2,0.51,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/untitled.fyjump3.mp3
SERGIK x LODIN - Bussin.wav,Unknown Artist,,,247.62,44100,0,2,41.66,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Bussin.wav
SERGIK - Celestial Groove.wav,Unknown Artist,,,255.87,44100,24,2,64.57,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Celestial Groove.wav
Chill hip hop 2.mp3,Unknown Artist,,,194.51,44100,0,2,7.42,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 2.mp3
Chill hip hop 3.mp3,Unknown Artist,,,167.42,44100,0,2,6.39,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 3.mp3
SERGIK - Fall Leafs.wav,Unknown Artist,,,156.44,44100,0,2,26.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fall Leafs.wav
AZ.mp3,Unknown Artist,,,123.06,44100,0,2,4.69,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/AZ.mp3
SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,Unknown Artist,,,253.66,44100,24,2,64.01,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav
the LNGwayyyyyyyyy v1.wav,Unknown Artist,,,178.29,44100,0,2,29.99,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/the LNGwayyyyyyyyy v1.wav
SERGIK - Golden Hour - House.wav,Unknown Artist,,,220.65,44100,24,2,55.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - House.wav
SERGIK - On Slack.wav,Unknown Artist,,,180.0,44100,0,2,30.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On Slack.wav
SERGIK - Spring Swing.wav,Unknown Artist,,,256.59,44100,24,2,64.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Spring Swing.wav
