filename,path,bpm,key,key_notation,energy,duration,sample_rate,dna_match_score,genre_fit,mb_artist,mb_title,mb_genres,mb_tags,mb_status,mb_recording_id
ANDINO x SERGIK -  ELROW .wav,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/ANDINO x SERGIK -  ELROW .wav,129.2,7B,F major,10,30.0,22050,49,fusion,Andino,Pide calle,house,,ok,e39238ea-53e1-455b-9286-fb29b2c8f632
ANDINO x SERGIK -  ELROW 1.wav,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/ANDINO x SERGIK -  ELROW 1.wav,63.0,7A,D minor,10,30.0,22050,51,fusion,Andino,Humo y alcohol,electronic,,ok,69b7935c-e3b9-42e3-8e2d-defbc23e48c0
