filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,Music,86.1,F# minor,11A,9,Drop,384.79,48000,0,2,140.92,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav
SERGIK - Needs.wav,Music,129.2,D major,10B,6,Chorus -> Drop,276.19,44100,24,2,69.69,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Needs.wav
chillout vibin.mp3,Music,123.0,A major,11B,5,Chorus -> Drop,204.98,44100,0,2,7.82,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/chillout vibin.mp3
Soundolosophy.wav,Music,117.5,A major,11B,5,Intro -> Drop,146.82,44100,0,2,24.7,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Soundolosophy.wav
SERGIK - Rock Dem Feets.wav,Music,129.2,A major,11B,6,Drop,247.62,44100,24,2,62.48,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Rock Dem Feets.wav
hip hop jordan 34-2.mp3,Music,112.3,A major,11B,6,Drop,233.93,44100,0,2,8.92,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/hip hop jordan 34-2.mp3
SERGIK x Silent Jay - Late Morning1.wav,Music,129.2,D major,10B,6,Drop,245.71,44100,0,2,41.34,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Late Morning1.wav
SERGIK - Jahdelicah 1.wav,Music,129.2,D major,10B,6,Chorus -> Drop,278.1,44100,24,2,70.18,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Jahdelicah 1.wav
SERGIK - The Sound.wav,Music,129.2,D minor,7A,5,Chorus -> Drop,274.29,44100,24,2,69.21,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - The Sound.wav
SERGIK x Sean Watson  - A Good Day (Instrumental).wav,Music,92.3,D major,10B,6,Drop,301.09,44100,24,2,75.98,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Watson  - A Good Day (Instrumental).wav
ANDINO x SERGIK -  ELROW 1.wav,Music,129.2,D major,10B,7,Drop,393.07,44100,0,2,66.13,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/ANDINO x SERGIK -  ELROW 1.wav
untitled.fyjump3.mp3,Music,147.7,G minor,6A,4,Unknown,13.35,44100,0,2,0.51,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/untitled.fyjump3.mp3
SERGIK x LODIN - Bussin.wav,Music,123.0,D major,10B,7,Chorus -> Drop,247.62,44100,0,2,41.66,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x LODIN - Bussin.wav
SERGIK - Celestial Groove.wav,Music,123.0,D minor,7A,6,Chorus -> Drop,255.87,44100,24,2,64.57,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Celestial Groove.wav
Chill hip hop 2.mp3,Music,92.3,C major,8B,6,Chorus -> Drop,194.51,44100,0,2,7.42,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 2.mp3
Chill hip hop 3.mp3,Music,129.2,D major,10B,6,Intro -> Chorus -> Drop,167.42,44100,0,2,6.39,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Chill hip hop 3.mp3
SERGIK - Fall Leafs.wav,Music,136.0,A minor,8A,5,Intro -> Verse -> Drop,156.44,44100,0,2,26.32,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Fall Leafs.wav
AZ.mp3,Music,89.1,D major,10B,6,Chorus -> Drop -> Chorus,123.06,44100,0,2,4.69,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/AZ.mp3
SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav,Music,86.1,D major,10B,8,Intro -> Drop,253.66,44100,24,2,64.01,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Everyday Gratitude (Freedom SRGFLiP).wav
the LNGwayyyyyyyyy v1.wav,Music,92.3,E major,12B,6,Drop,178.29,44100,0,2,29.99,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/the LNGwayyyyyyyyy v1.wav
SERGIK - Golden Hour - House.wav,Music,86.1,A major,11B,6,Chorus -> Drop,220.65,44100,24,2,55.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Golden Hour - House.wav
SERGIK - On Slack.wav,Music,86.1,D major,10B,9,Drop,180.0,44100,0,2,30.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - On Slack.wav
SERGIK - Spring Swing.wav,Music,86.1,A minor,8A,9,Drop -> Chorus,256.59,44100,24,2,64.75,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Spring Swing.wav
TombStoned (0).wav,Music,92.3,A minor,8A,5,Chorus -> Drop,192.0,44100,0,2,64.6,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/TombStoned (0).wav
SERGIK - Back to The Basics.wav,Music,123.0,G major,9B,6,Drop -> Chorus -> Drop,286.45,44100,24,2,72.28,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back to The Basics.wav
