name,collaborator,size_mb,modified,path
space dust,,3.8,2021-01-09,/Volumes/SERGIK/Sergic/space dust Project/space dust.als
WORK ON THIS SERGIO,,0.16,2021-01-03,/Volumes/SERGIK/Sergic/WORK ON THIS SERGIO Project/WORK ON THIS SERGIO.als
Astral - Sergic x Huy,Astral,0.67,2021-03-17,/Volumes/SERGIK/Sergic/TIME Project/Astral - Sergic x Huy.als
Astral - Sergic x Huy [2021-01-03 043205],Astral,0.59,2021-01-03,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-03 043205].als
Astral - Sergic x Huy [2021-01-03 044651],Astral,0.64,2021-01-03,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-03 044651].als
Astral - Sergic x Huy [2021-01-07 223007],Astral,0.66,2021-01-03,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-07 223007].als
Astral - Sergic x Huy [2021-01-09 082025],Astral,0.66,2021-01-07,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-09 082025].als
Astral - Sergic x Huy [2021-01-12 220739],Astral,0.66,2021-01-09,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-12 220739].als
Astral - Sergic x Huy [2021-01-16 144307],Astral,0.66,2021-01-12,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-16 144307].als
Astral - Sergic x Huy [2021-01-18 200641],Astral,0.66,2021-01-16,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-01-18 200641].als
Astral - Sergic x Huy [2021-03-17 170305],Astral,0.67,2021-01-18,/Volumes/SERGIK/Sergic/TIME Project/Backup/Astral - Sergic x Huy [2021-03-17 170305].als
 Birth,,0.44,2021-01-13,/Volumes/SERGIK/Sergic/ Birth Project/ Birth.als
 Birth [2021-01-09 080432],,0.12,2021-01-09,/Volumes/SERGIK/Sergic/ Birth Project/Backup/ Birth [2021-01-09 080432].als
 Birth [2021-01-09 181850],,0.41,2021-01-09,/Volumes/SERGIK/Sergic/ Birth Project/Backup/ Birth [2021-01-09 181850].als
 Birth [2021-01-09 204339],,0.41,2021-01-09,/Volumes/SERGIK/Sergic/ Birth Project/Backup/ Birth [2021-01-09 204339].als
 Birth [2021-01-09 235539],,0.41,2021-01-09,/Volumes/SERGIK/Sergic/ Birth Project/Backup/ Birth [2021-01-09 235539].als
 Birth [2021-01-12 231905],,0.41,2021-01-09,/Volumes/SERGIK/Sergic/ Birth Project/Backup/ Birth [2021-01-12 231905].als
 Birth [2021-01-13 012533],,0.44,2021-01-12,/Volumes/SERGIK/Sergic/ Birth Project/Backup/ Birth [2021-01-13 012533].als
Fungus among us,,0.41,2021-01-16,/Volumes/SERGIK/Sergic/Fungus among us Project/Fungus among us.als
Fungus among us [2021-01-09 234210],,0.29,2021-01-09,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-09 234210].als
Fungus among us [2021-01-09 234857],,0.34,2021-01-09,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-09 234857].als
Fungus among us [2021-01-10 031437],,0.34,2021-01-09,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-10 031437].als
Fungus among us [2021-01-10 054630],,0.34,2021-01-10,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-10 054630].als
Fungus among us [2021-01-10 125140],,0.34,2021-01-10,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-10 125140].als
Fungus among us [2021-01-10 211403],,0.38,2021-01-10,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-10 211403].als
Fungus among us [2021-01-13 013254],,0.38,2021-01-10,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-13 013254].als
Fungus among us [2021-01-16 123556],,0.38,2021-01-13,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-16 123556].als
Fungus among us [2021-01-16 145824],,0.4,2021-01-16,/Volumes/SERGIK/Sergic/Fungus among us Project/Backup/Fungus among us [2021-01-16 145824].als
Lunar Lane,,0.48,2021-03-17,/Volumes/SERGIK/Sergic/Lunar Lane Project/Lunar Lane.als
Lunar Lane [2021-01-10 145011],,0.3,2021-01-10,/Volumes/SERGIK/Sergic/Lunar Lane Project/Backup/Lunar Lane [2021-01-10 145011].als
