name,collaborator,size_mb,modified,path
Got It,,0.47,2020-05-18,/Volumes/SERGIK/Sergic/Got It Project/Got It.als
Got It [2020-05-18 170018],,0.45,2020-05-18,/Volumes/SERGIK/Sergic/Got It Project/Backup/Got It [2020-05-18 170018].als
Got It [2020-05-18 174723],,0.45,2020-05-18,/Volumes/SERGIK/Sergic/Got It Project/Backup/Got It [2020-05-18 174723].als
Got It [2020-05-18 205520],,0.47,2020-05-18,/Volumes/SERGIK/Sergic/Got It Project/Backup/Got It [2020-05-18 205520].als
pretty,,1.15,2020-05-19,/Volumes/SERGIK/Sergic/pretty Project/pretty.als
pretty [2020-05-19 003734],,1.15,2020-05-18,/Volumes/SERGIK/Sergic/pretty Project/Backup/pretty [2020-05-19 003734].als
trap,,0.13,2020-05-18,/Volumes/SERGIK/Sergic/trap Project/trap.als
trap [2020-05-18 213851],,0.13,2020-05-18,/Volumes/SERGIK/Sergic/trap Project/Backup/trap [2020-05-18 213851].als
good things,,0.71,2020-05-22,/Volumes/SERGIK/Sergic/good things Project/good things.als
good things [2020-05-18 234229],,0.7,2020-05-18,/Volumes/SERGIK/Sergic/good things Project/Backup/good things [2020-05-18 234229].als
good things [2020-05-19 024916],,0.7,2020-05-18,/Volumes/SERGIK/Sergic/good things Project/Backup/good things [2020-05-19 024916].als
good things [2020-05-21 202437],,0.71,2020-05-19,/Volumes/SERGIK/Sergic/good things Project/Backup/good things [2020-05-21 202437].als
good things [2020-05-22 220423],,0.71,2020-05-21,/Volumes/SERGIK/Sergic/good things Project/Backup/good things [2020-05-22 220423].als
wonder,,0.53,2020-05-22,/Volumes/SERGIK/Sergic/wonder Project/wonder.als
wonder [2020-05-21 171826],,0.22,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 171826].als
wonder [2020-05-21 191300],,0.23,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 191300].als
wonder [2020-05-21 192947],,0.46,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 192947].als
wonder [2020-05-21 200033],,0.48,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 200033].als
wonder [2020-05-21 201639],,0.49,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 201639].als
wonder [2020-05-21 211128],,0.49,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 211128].als
wonder [2020-05-21 225021],,0.49,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 225021].als
wonder [2020-05-21 225613],,0.52,2020-05-21,/Volumes/SERGIK/Sergic/wonder Project/Backup/wonder [2020-05-21 225613].als
